[container_monitor] pf-swap-2: cgroup path = /sys/fs/cgroup/system.slice/docker-305f04be379b999c32cd913042d59853b6b11dcb101c1bc3e7d42a7210cbed91.scope
[container_monitor] pf-swap-2: current=121.3MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=203743 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=121.3MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=204521 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=121.3MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=205384 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=121.3MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=205866 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=129.3MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=219008 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=129.3MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=219878 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=129.3MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=220649 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=129.3MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=221403 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=137.3MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=230670 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=137.3MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=231337 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
