설정: CHUNK_SIZE_MB=8, INTERVAL_SECONDS=2, MAX_ALLOCATION_MB=1024
[2026-09-18 04:59:52.564] 할당 #75 | +8MiB | 누적 600MiB | alloc_fill=3.278ms | JVM used=605MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:54.572] 할당 #76 | +8MiB | 누적 608MiB | alloc_fill=7.434ms | JVM used=613MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:56.580] 할당 #77 | +8MiB | 누적 616MiB | alloc_fill=5.802ms | JVM used=621MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:58.587] 할당 #78 | +8MiB | 누적 624MiB | alloc_fill=6.006ms | JVM used=629MiB committed=758MiB max=1160MiB
[2026-09-18 05:00:00.594] 할당 #79 | +8MiB | 누적 632MiB | alloc_fill=5.061ms | JVM used=637MiB committed=758MiB max=1160MiB
[2026-09-18 05:00:02.606] 할당 #80 | +8MiB | 누적 640MiB | alloc_fill=8.730ms | JVM used=645MiB committed=758MiB max=1160MiB
[2026-09-18 05:00:04.612] 할당 #81 | +8MiB | 누적 648MiB | alloc_fill=4.122ms | JVM used=653MiB committed=758MiB max=1160MiB
[2026-09-18 05:00:06.621] 할당 #82 | +8MiB | 누적 656MiB | alloc_fill=5.014ms | JVM used=661MiB committed=758MiB max=1160MiB
[2026-09-18 05:00:08.629] 할당 #83 | +8MiB | 누적 664MiB | alloc_fill=6.281ms | JVM used=669MiB committed=758MiB max=1160MiB
[2026-09-18 05:00:10.636] 할당 #84 | +8MiB | 누적 672MiB | alloc_fill=5.630ms | JVM used=677MiB committed=758MiB max=1160MiB
[2026-09-18 05:00:12.641] 할당 #85 | +8MiB | 누적 680MiB | alloc_fill=4.229ms | JVM used=685MiB committed=758MiB max=1160MiB
[2026-09-18 05:00:14.649] 할당 #86 | +8MiB | 누적 688MiB | alloc_fill=6.611ms | JVM used=693MiB committed=758MiB max=1160MiB
[2026-09-18 05:00:16.659] 할당 #87 | +8MiB | 누적 696MiB | alloc_fill=5.344ms | JVM used=701MiB committed=758MiB max=1160MiB
[2026-09-18 05:00:18.666] 할당 #88 | +8MiB | 누적 704MiB | alloc_fill=5.064ms | JVM used=709MiB committed=758MiB max=1160MiB
[2026-09-18 05:00:20.672] 할당 #89 | +8MiB | 누적 712MiB | alloc_fill=4.835ms | JVM used=717MiB committed=758MiB max=1160MiB
